file,llm,strategy,raw_ptr_list,has_unsafe,arc_from_raw,inner_lock,lock_on_unlink,verdict,notes
Samples/chatgpt/zeroShot_Gp/cveZERO_8.rs,chatgpt,zeroShot,yes,yes,no,,,,
Samples/chatgpt/zeroShot_Gp/cveZERO_9.rs,chatgpt,zeroShot,no,yes,yes,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_1.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_10.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_2.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_3.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_4.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_5.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_6.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_7.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_8.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/chainThought_Ge/gemini_cveCHAIN_9.rs,gemini,chainThought,no,yes,no,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_1.rs,gemini,constraintBased,yes,yes,yes,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_10.rs,gemini,constraintBased,yes,yes,no,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_2.rs,gemini,constraintBased,yes,yes,yes,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_3.rs,gemini,constraintBased,yes,yes,yes,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_4.rs,gemini,constraintBased,no,no,no,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_5.rs,gemini,constraintBased,yes,yes,no,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_6.rs,gemini,constraintBased,yes,yes,yes,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_7.rs,gemini,constraintBased,yes,yes,yes,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_8.rs,gemini,constraintBased,yes,yes,no,,,,
Samples/gemini/constraintBased_Ge/gemini_cveCONTR_9.rs,gemini,constraintBased,yes,yes,no,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_1.rs,gemini,zeroShot,yes,yes,yes,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_10.rs,gemini,zeroShot,no,yes,yes,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_2.rs,gemini,zeroShot,no,no,no,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_3.rs,gemini,zeroShot,yes,yes,yes,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_4.rs,gemini,zeroShot,no,yes,no,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_5.rs,gemini,zeroShot,no,no,no,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_6.rs,gemini,zeroShot,no,no,no,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_7.rs,gemini,zeroShot,yes,yes,yes,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_8.rs,gemini,zeroShot,yes,yes,yes,,,,
Samples/gemini/zeroShot_Ge/gemini_cveZERO_9.rs,gemini,zeroShot,no,no,no,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_1.rs,grok,chainThought,yes,yes,no,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_10.rs,grok,chainThought,no,yes,no,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_2.rs,grok,chainThought,yes,yes,no,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_3.rs,grok,chainThought,yes,yes,no,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_4.rs,grok,chainThought,yes,yes,no,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_5.rs,grok,chainThought,no,yes,yes,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_6.rs,grok,chainThought,yes,yes,yes,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_7.rs,grok,chainThought,yes,yes,yes,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_8.rs,grok,chainThought,yes,yes,no,,,,
Samples/grok/chainThought_Gr/grok_cveCHAIN_9.rs,grok,chainThought,yes,yes,yes,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_1.rs,grok,constraintBased,yes,yes,no,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_10.rs,grok,constraintBased,yes,yes,no,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_2.rs,grok,constraintBased,yes,yes,no,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_3.rs,grok,constraintBased,yes,yes,no,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_4.rs,grok,constraintBased,yes,yes,no,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_5.rs,grok,constraintBased,yes,yes,yes,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_6.rs,grok,constraintBased,yes,yes,no,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_7.rs,grok,constraintBased,yes,yes,no,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_8.rs,grok,constraintBased,yes,yes,no,,,,
Samples/grok/constraintBased_Gr/grok_cveCONSTR_9.rs,grok,constraintBased,yes,yes,no,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_1.rs,grok,zeroShot,no,yes,no,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_10.rs,grok,zeroShot,yes,yes,yes,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_2.rs,grok,zeroShot,yes,yes,yes,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_3.rs,grok,zeroShot,yes,yes,no,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_4.rs,grok,zeroShot,yes,yes,no,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_5.rs,grok,zeroShot,no,no,no,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_6.rs,grok,zeroShot,no,yes,yes,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_7.rs,grok,zeroShot,yes,yes,yes,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_8.rs,grok,zeroShot,yes,yes,yes,,,,
Samples/grok/zeroShot_Gr/grok_cveZERO_9.rs,grok,zeroShot,no,yes,no,,,,
